RWY,AP_CAT,RVR_FT,SM,RVR_FT_33,SM_33,RVR_FT_50,SM_50
35L,ILS CAT I,1800, 1/2,1200, 1/4,1000, 1/4
35L,ILS CAT I SA ,1400,,1000,,1000,
35L,ILS CAT II,1200,,1000,,1000,
35L,ILS CAT III,300,,N/A,,N/A,
35L,RNAV RNP .10,2400, 1/2,1600, 1/4,1200, 1/4
35L,RNAV RNP .30,3200, 5/8,2000, 3/8,1300, 1/4
35R,ILS CAT I,1800, 1/2,1200, 1/4,1000, 1/4
35R,ILS CAT I SA ,1400,,1000,,1000,
35R,ILS CAT II,1200,,1000,,1000,
35R,ILS CAT IIIA,700,,N/A,,N/A,
35R,ILS CAT IIIB,300,,N/A,,N/A,
35R,RNAV RNP .10,2400, 1/2,1600, 1/4,1200, 1/4
35R,RNAV RNP .30,3200, 5/8,2000, 3/8,1300, 1/4
